# Time_s	x	xdot	xddot	xdddot
1.210000	1.259766	-0.014648	-0.595703	-0.380859
1.215000	1.030273	0.595703	-0.073242	-0.649414
1.220000	0.195312	0.585938	0.327148	-2.407227
1.225000	-0.410156	-0.415039	1.152344	1.127930
1.230000	0.610352	-1.123047	-0.732422	0.625000
1.235000	1.757812	-0.048828	-0.688477	-0.419922
1.240000	1.513672	0.659180	-0.068359	-0.708008
1.245000	0.610352	0.620117	0.185547	-0.498047
1.250000	-0.146484	0.278320	0.883789	-1.406250
1.255000	-0.126953	-0.869141	-0.048828	0.834961
1.260000	0.986328	-0.454102	-0.732422	-0.039062
1.265000	1.254883	0.405273	-0.297852	-0.615234
1.270000	0.581055	0.644531	0.102539	-0.878906
1.275000	-0.234375	0.278320	1.230469	-1.347656
1.280000	-0.063477	-1.176758	-0.156250	1.074219
1.285000	1.401367	-0.571289	-0.878906	-0.019531
1.290000	1.777344	0.454102	-0.327148	-0.673828
1.295000	1.025391	0.698242	0.136719	-0.620117
1.300000	0.141602	0.483398	0.336914	-1.967773
1.305000	-0.322266	-0.385742	0.810547	0.888672
1.310000	0.507812	-0.815430	-0.634766	0.380859
1.315000	1.293945	0.083008	-0.541992	-0.444336
1.320000	0.947266	0.615234	-0.029297	-0.639648
1.325000	0.102539	0.566406	0.498047	-2.543945
1.330000	-0.400391	-0.629883	0.874023	1.186523
1.335000	0.791016	-1.035156	-0.810547	0.493164
1.340000	1.801758	0.073242	-0.625000	-0.498047
1.345000	1.425781	0.688477	-0.014648	-0.693359
1.350000	0.502930	0.595703	0.185547	-0.839844
1.355000	-0.209961	0.175781	0.991211	-0.893555
1.360000	-0.019531	-0.917969	-0.224609	0.766602
1.365000	1.083984	-0.336914	-0.708008	-0.141602
1.370000	1.220703	0.468750	-0.234375	-0.629883
1.375000	0.478516	0.634766	0.122070	-1.376953
1.380000	-0.307617	0.131836	1.328125	-0.561523
1.385000	0.092773	-1.210938	-0.356445	0.976562
1.390000	1.528320	-0.434570	-0.849609	-0.141602
1.395000	1.728516	0.527344	-0.253906	-0.698242
1.400000	0.917969	0.683594	0.161133	-0.585938
1.405000	0.058594	0.454102	0.473633	-2.031250
1.410000	-0.312500	-0.546875	0.571289	0.913086
1.415000	0.639648	-0.737305	-0.693359	0.273438
1.420000	1.303711	0.180664	-0.483398	-0.507812
1.425000	0.854492	0.634766	0.014648	-0.629883
1.430000	0.004883	0.527344	0.698242	-2.509766
1.435000	-0.356445	-0.830078	0.566406	1.201172
1.440000	0.971680	-0.937500	-0.864258	0.356445
1.445000	1.821289	0.190430	-0.551758	-0.556641
1.450000	1.323242	0.703125	0.039062	-0.678711
1.455000	0.405273	0.571289	0.185547	-1.240234
1.460000	-0.263672	0.053711	1.049805	-0.229492
1.465000	0.107422	-0.927734	-0.371094	0.678711
1.470000	1.166992	-0.224609	-0.673828	-0.239258
1.475000	1.166992	0.527344	-0.170898	-0.639648
1.480000	0.380859	0.620117	0.146484	-1.831055
1.485000	-0.366211	-0.043945	1.357422	0.400391
1.490000	0.268555	-1.210938	-0.522461	0.869141
1.495000	1.630859	-0.292969	-0.805664	-0.249023
1.500000	1.660156	0.585938	-0.180664	-0.708008
1.505000	0.805664	0.668945	0.175781	-0.556641
1.510000	-0.014648	0.410156	0.625000	-1.948242
1.515000	-0.268555	-0.688477	0.332031	0.913086
1.520000	0.776367	-0.644531	-0.722656	0.156250
1.525000	1.303711	0.268555	-0.415039	-0.556641
1.530000	0.761719	0.644531	0.048828	-0.620117
1.535000	-0.083008	0.458984	0.903320	-2.285156
1.540000	-0.283203	-0.991211	0.283203	1.186523
1.545000	1.137695	-0.815430	-0.893555	0.219727
1.550000	1.821289	0.292969	-0.473633	-0.615234
1.555000	1.230469	0.708008	0.078125	-0.659180
1.560000	0.307617	0.537109	0.190430	-1.567383
1.565000	-0.302734	-0.087891	1.040039	0.541992
1.570000	0.239258	-0.908203	-0.488281	0.585938
1.575000	1.230469	-0.112305	-0.629883	-0.317383
1.580000	1.093750	0.571289	-0.117188	-0.649414
1.585000	0.278320	0.610352	0.219727	-2.192383
1.590000	-0.400391	-0.239258	1.284180	1.044922
1.595000	0.449219	-1.176758	-0.644531	0.742188
1.600000	1.708984	-0.156250	-0.751953	-0.346680
1.605000	1.586914	0.629883	-0.112305	-0.708008
1.610000	0.693359	0.644531	0.185547	-0.527344
1.615000	-0.087891	0.346680	0.776367	-1.723633
1.620000	-0.200195	-0.800781	0.107422	0.883789
1.625000	0.898438	-0.541992	-0.732422	0.048828
1.630000	1.284180	0.351562	-0.351562	-0.595703
1.635000	0.664062	0.644531	0.078125	-0.595703
1.640000	-0.166016	0.375977	1.103516	-1.860352
1.645000	-0.175781	-1.108398	0.029297	1.132812
1.650000	1.289062	-0.683594	-0.898438	0.078125
1.655000	1.801758	0.380859	-0.390625	-0.649414
1.660000	1.118164	0.703125	0.112305	-0.629883
1.665000	0.219727	0.507812	0.253906	-1.835938
1.670000	-0.322266	-0.249023	0.952148	0.834961
1.675000	0.385742	-0.869141	-0.585938	0.478516
1.680000	1.269531	-0.004883	-0.585938	-0.395508
1.685000	1.015625	0.600586	-0.063477	-0.644531
1.690000	0.180664	0.585938	0.356445	-2.446289
1.695000	-0.410156	-0.454102	1.113281	1.142578
1.700000	0.634766	-1.108398	-0.751953	0.605469
1.705000	1.767578	-0.024414	-0.683594	-0.434570
1.710000	1.503906	0.664062	-0.053711	-0.708008
1.715000	0.590820	0.615234	0.190430	-0.512695
1.720000	-0.161133	0.263672	0.908203	-1.328125
1.725000	-0.112305	-0.878906	-0.083008	0.830078
1.730000	1.005859	-0.429688	-0.727539	-0.053711
