NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
17.015000	12.854376	16.614163	3.228749
17.051295	12.842094	16.657922	3.228749
17.098625	12.842094	16.698044	3.228749
17.137766	12.842094	16.735558	3.228956
17.178341	12.842094	16.775493	3.228956
17.220504	12.846570	16.814078	3.228956
17.291369	12.846570	16.850693	3.228956
17.337115	12.861082	16.898048	3.187949
17.379642	12.861082	16.936026	3.187949
17.422767	12.861082	16.996879	3.187949
17.461833	12.872038	17.039314	3.147686
17.511073	12.872038	17.083050	3.147686
17.548785	12.872038	17.124727	3.147686
17.590087	12.872038	17.168190	4.425363
17.632891	12.849118	17.206770	4.425363
17.694881	12.849118	17.245806	4.425363
17.737768	12.860672	17.285502	4.424833
17.777026	12.860672	17.325270	4.424833
17.819664	12.860672	17.364729	4.424833
17.858449	12.862595	17.401906	4.424833
17.904938	12.862595	17.443391	4.432662
17.940765	12.862595	17.480901	4.432662
17.981832	12.862595	17.519066	4.432662
18.024653	12.886080	17.565914	4.440170
18.085646	12.886080	17.606815	4.440170
18.123216	12.886080	17.682470	4.431989
18.161289	12.875410	17.723271	4.431989
18.201535	12.875410	17.762138	4.431989
18.239868	12.875410	17.803812	4.431989
18.281521	12.855334	17.846339	4.434672
18.321763	12.855334	17.914719	4.434672
18.361332	12.855334	17.956670	4.449326
18.399776	12.863559	17.999581	4.449326
18.440655	12.863559	18.039476	4.449326
18.479767	12.863559	18.082949	4.453833
18.517471	12.863559	18.149768	4.453833
18.564890	12.848965	18.186662	4.453833
18.601734	12.848965	18.228336	4.423872
18.639856	12.848965	18.268418	4.423872
18.701600	12.871710	18.305409	4.423872
18.742198	12.871710	18.348366	4.437322
18.779249	12.871710	18.389721	4.437322
18.823384	12.871643	18.428423	4.437322
18.862975	12.871643	18.505491	4.437082
18.901314	12.871643	18.543147	4.437082
18.946138	12.873975	18.580360	4.437082
18.984574	12.873975	18.620741	4.450837
19.023345	12.873975	18.664240	4.450837
19.066825	12.880238	18.701424	4.450837
19.106300	12.880238	18.761911	4.467964
19.147849	12.880238	18.801043	4.467964
19.185641	12.880238	18.838794	4.467964
19.234462	12.878755	18.879837	4.455975
19.272756	12.878755	18.918757	4.455975
